SPENDING,WHENFORTYWINTERSSHAL,OWIAI WEZQL MAWME YKWEY 
DECEMBER,LOOKINTHYGLASSANDTEL,OSQOU OXYBK NEETE EGXGP 
UNKNOWNS,UNTHRIFTYLOVELINESSW,OADUF ESLSY YISHV FYFCJ 
EXIGENCY,THOSEHOURSTHATWITHGE,XEWYI UQSVP BNEGY GXEOK 
CANOEIST,THENLETNOTWINTERSRAG,VHRBP MLGQT JWRBW KURNU 
MOISTURE,LOINTHEORIENTWHENTHE,XCQFM BVSDW MFMQY IZHPW 
JAGGEDLY,MUSICTOHEARWHYHEARST,VUYOG WZFNA XCLBS CJRYZ 
CLICKING,ISITFORFEARTOWETAWID,KDQVP WELGL ZVYER ZCHQF 
ROOSTERS,FORSHAMEDENYTHATTHOU,WCFKA EDWUS BQMLR LKVCM 
GENETICS,ASFASTASTHOUSHALTWAN,GWSEL BCKZL BYLPC DZANR 
SCOLDING,WHENIDOCOUNTTHECLOCK,OJSYL LBIGW BEWPR IDQQV 
MACKEREL,OTHATYOUWEREYOURSELF,ATJKX PSFIE TOCFY CEENP 
GRASPING,NOTFROMTHESTARSDOIMY,TFTXG WZZNV SLPZF JUZMQ 
EARACHES,WHENICONSIDEREVERYTH,AHVNK JSFWI UETLZ WVYKH 
BOHEMIAN,BUTWHEREFOREDONOTYOU,CIAAT MRRGC YIPWN BUMVY 
PLUCKING,WHOWILLBELIEVEMYVERS,LSIYS TYHTW CGFMZ EKPLU 
SURFACES,SHALLICOMPARETHEETOA,KBRQL KGGEJ RWEVL WWNFF 
TETCHILY,DEVOURINGTIMEBLUNTTH,WIOQB ZTLZX BOLJW SGXMJ 
ESTHETIC,AWOMANSFACEWITHNATUR,EOHTE GAHEU XDMMP PELNY 
BLISTERS,SOISITNOTWITHMEASWIT,TZQKB XEGUH QLAQV STHQL 
EARDROPS,MYGLASSSHALLNOTPERSU,QYXOR GHKLA COECI HIRJX 
EYEBALLS,ASANUNPERFECTACTORON,EQEOU YAWVD IDTLN LSPSO 
FLOATERS,MINEEYEHATHPLAYDTHEP,RTBEX CVZFE VPEEP VYSSP 
RESTLESS,LETTHOSEWHOAREINFAVO,CILMS SKWNL GTCIA FWENH 
MARIGOLD,LORDOFMYLOVETOWHOMIN,XOILU TXBXO MMZCH KAMZV 
INFRARED,WEARYWITHTOILIHASTEM,ERFIY NMWPG TZLZL DAGJD 
ABUTMENT,HOWCANITHENRETURNINH,HPQVM RVMHF HKQXH KNJHA 
SITUATED,WHENINDISGRACEWITHFO,OPXHI GHLKO KUCXA LLPYI 
SMUDGING,WHENTOTHESESSIONSOFS,OTYQZ WGNWE YVYQB TKAZV 
PROTEASE,THYBOSOMISENDEAREDWI,IYMUS SGQXJ SGHES VTUKB 
MISTREAT,IFTHOUSURVIVEMYWELLC,UNLAF YSNDD AOVQY PQTDV 
UNAFRAID,FULLMANYAGLORIOUSMOR,ZHLQD AVBUT LTIIW XMZOW 
DUMFOUND,WHYDIDSTTHOUPROMISES,ZBKIW XFWWB AZDLB PLMQX 
CONTRITE,NOMOREBEGRIEVEDATTHA,PCZHI MUIIF VXMMW EVHUT 
WHATEVER,LETMECONFESSTHATWETW,HLTFI XSEBL SLXCE KSLTP 
BOGGLING,ASADECREPITFATHERTAK,BGGJP KEKQW ZLLBU KSHGQ 
PICKAXES,HOWCANMYMUSEWANTSUBJ,WWYMA KQQBC UOWXR LHCDT 
CYCLEWAY,OHOWTHYWORTHWITHMANN,QFQHX DYUQP VSAET FOYPY 
SPOILING,TAKEALLMYLOVESMYLOVE,LPYML TYSQA CDPAZ EDDJM 
WRANGLER,THOSEPETTYWRONGSTHAT,PYOFK AIKPP WEUYK JPYAG 
RATIONED,THATTHOUHASTHERITISN,KHTBH USXYA LBVRV LKILV 
CESSPOOL,WHENMOSTIWINKTHENDOM,YLWFB CGEKA AFZHV PPHGE 
SPARKLES,IFTHEDULLSUBSTANCEOF,AUTYO OYDDH USCEE FUTOW 
PATCHIER,THEOTHERTWOSLIGHTAIR,IHXQA PIIIW HUSQK YIABT 
LETTUCES,MINEEYEANDHEARTAREAT,XMGXY AISYH AXUTX SCITM 
STATIONS,BETWIXTMINEEYEANDHEA,TXTPQ LGEAG EXGSN FVAET 
BEACONED,HOWCAREFULWASIWHENIT,ISWEO EIIVP WCGVA KFRIV 
COALFACE,AGAINSTTHATTIMEIFEVE,CUATS SVXJO TENMG MHSVP 
SCOOTING,HOWHEAVYDOIJOURNEYON,ZQKVX IIEVQ WXHCE TWACB 
MUZZLING,THUSCANMYLOVEEXCUSET,FBTRN IASKF NUPMK IGMDS 
COARSENS,SOAMIASTHERICHWHOSEB,UCADA EFLJS RZULJ ZQGES 
POLARITY,WHATISYOURSUBSTANCEW,LVLTZ ARMJF DUSAM YCQPW 
REFLECTS,OHOWMUCHMOREDOTHBEAU,FLTHQ WVZDS WPHQM ZSIFF 
THEOREMS,NOTMARBLENORTHEGILDE,GVXAR VNDXU SFKLQ YBSHS 
BEADIEST,SWEETLOVERENEWTHYFOR,TAEHB PGOFV EQMAL AZJOU 
BRUSHING,BEINGYOURSLAVEWHATSH,CVCFN GBASJ FSCMJ NBKMZ 
BRIGHTER,THATGODFORBIDTHATMAD,UYIZN HHWPI JOKML RUDIJ 
UNDERPIN,IFTHEREBENOTHINGNEWB,CSWLV GMOYA RXYXV THRZF 
STACCATO,LIKEASTHEWAVESMAKETO,DBKGC SMVWP AXGSF OCXTQ 
BASTIONS,ISITTHYWILLTHYIMAGES,JSAMB VLOJL DMPMV EBGWL 
FEATHERY,SINOFSELFLOVEPOSSESS,XMNHM WVJKP OOLTF QXISL 
MOMENTUM,AGAINSTMYLOVESHALLBE,MUMMA LNYKZ AZRLB MXZNI 
VISCOUNT,WHENIHAVESEENBYTIMES,RPWPW BNOZA WGBVL MDUWU 
HINDMOST,SINCEBRASSNORSTONENO,ZQAFQ PJTZA ARDGL HUMAR 
PLACENTA,TIREDWITHALLTHESEFOR,ITRGH JBTWL LNXUX STQOT 
STREAMER,AHWHEREFOREWITHINFEC,SANLE DIWGK VAIFL ZFYVG 
CURTSIED,THUSISHISCHEEKTHEMAP,VBLLA ALLUW YXWSX KGGRI 
THANKFUL,THOSEPARTSOFTHEETHAT,MOOFO UUCMZ OSDMY PMOAG 
FASTENED,THATTHOUARTBLAMEDSHA,YHSMX USXFR LUPNQ HISZT 
KEROSENE,NOLONGERMOURNFORMEWH,XSCCF KRVWS LFFJB VWINV 
UNHOOKED,OLESTTHEWORLDSHOULDT,IYLGH DLHQB YZRCL ROYKH 
LIFERAFT,THATTIMEOFYEARTHOUMA,EPFXK IRXZN DIRRY AZCRE 
UNSOLVED,BUTBECONTENTEDWHENTH,VHLPP XSQNR FHPYA KYALV 
ALERTING,SOAREYOUTOMYTHOUGHTS,SZEIX GBATZ QPMPB AGSXJ 
GUILTIER,WHYISMYVERSESOBARREN,CBGTL UCMKL APLWF RXLMY 
CLUTCHES,THYGLASSWILLSHOWTHEE,VSSZN HWKYT FEUOS OVSYX 
AVERRING,SOOFTHAVEIINVOKEDTHE,SJSWK PNBED MEMWX KDOLV 
MARINATE,WHILSTIALONEDIDCALLU,IHZTF TBEXO EMQIW GMLCC 
ACHIEVED,OHOWIFAINTWHENIOFYOU,OJVEM AELNV DPIIM RFAVC 
LABOURED,ORISHALLLIVEYOUREPIT,ZRJGB RPOWI WSSFY UPPJH 
DECODERS,IGRANTTHOUWERTNOTMAR,LKTOQ XKZRY YSUXE GWQCF 
HANDBAGS,INEVERSAWTHATYOUDIDP,PNRYF RYSDT UDUYU MKIQS 
MISHEARD,WHOISITTHATSAYSMOSTW,IPGPW IKWTI LZEYJ PAALD 
PASTRAMI,MYTONGUETIEDMUSEINMA,BYLHE GGMII WWDUE MXNET 
GLEAMING,WASITTHEPROUDFULLSAI,CLWIF BUKVC SUPNH RRDEI 
SWERVING,FAREWELLTHOUARTTOODE,XWVVR MYRLD SLVZG ZGKHV 
AQUILINE,WHENTHOUSHALTBEDISPO,WXYVE PBYSX UTEJR HIIJW 
OATCAKES,SAYTHATTHOUDIDSTFORS,GARVH KXLVO NFINW LTOKU 
STARLETS,THENHATEMEWHENTHOUWI,LAEES EMWEX WYPRM ZGNWZ 
STRADDLE,SOMEGLORYINTHEIRBIRT,KHDEJ OZVQB ETKHT VTBIT 
SERVICES,BUTDOTHYWORSTTOSTEAL,TYKYW VLQOS INBVS KLIRG 
CONFINES,SOSHALLILIVESUPPOSIN,UCFMI YPANW IJAHT HQGVS 
CHUTZPAH,THEYTHATHAVEPOWERTOH,VOYRS WAAJH PXODW LTAIA 
DEVALUES,HOWSWEETANDLOVELYDOS,KSRSH YILDR YLZPI DBHJS 
UNVOICED,SOMESAYTHYFAULTISYOU,MBHSA CCWBL AOCNX LMLJI 
TOTALITY,HOWLIKEAWINTERHATHMY,ACPLT SXYPW GTPZA YMVFY 
WEEKENDS,FROMYOUHAVEIBEENABSE,BVSWC BXZWZ ISFRH FWFWO 
SAVOURED,THEFORWARDVIOLETTHUS,LHZTI IADJD QWICI WLHPG 
CAUSALLY,WHEREARTTHOUMUSETHAT,YHYJE LCRVH IMMFD CVHUL 
COARSEST,OTRUANTMUSEWHATSHALL,QHRLS RLFWG ENZEL LJOLC 
MISTRESS,MYLOVEISSTRENGTHENDT,YGDHM IAKEB JXEKL ZQVVM 
REPENTED,ALACKWHATPOVERTYMYMU,RPPGX PLDKT DZRKX BDCBY 
MISTYPED,TOMEFAIRFRIENDYOUNEV,FWEXD PMURZ AXLSC RGVWO 
CHAMPING,LETNOTMYLOVEBECALLDI,NLTZD BZENV VQQMP GNSDU 
JOTTINGS,WHENINTHECHRONICLEOF,FVXGQ AZZNQ AKWAO UUSHY 
ANYWHERE,WHENINTHECHRONICLEOF,WUCJP RKLEP FNVRZ GLRMB 
OVERRIPE,NOTMINEOWNFEARSNORTH,BJXDZ VTSKI JVRZH RCMXY 
HATCHETS,WHATSINTHEBRAINTHATI,DHTVZ MGLOE UTHMG LOAMK 
BAGGAGES,ONEVERSAYTHATIWASFAL,PNKBE XWSZT NGTOA STFGR 
RESOLVER,ALASTISTRUEIHAVEGONE,RPSGE DWKIY WWSVZ VXSFS 
LABURNUM,OFORMYSAKEDOYOUWITHF,ZFPLD LMMVE EIPBO ITTIZ 
PROTECTS,YOURLOVEANDPITYDOTHT,NFIKP QOWPE RIMVR VDKVM 
HONORARY,SINCEILEFTYOUMINEEYE,ZWAQV ICCMH LCLMZ LLSLS 
MIMICKER,ORWHETHERDOTHMYMINDB,AZIPG DLVDL ABJWC DUVPJ 
GREATEST,THOSELINESTHATIBEFOR,ZYSSX PAGKJ XHTXA UKWSR 
COPPICED,LETMENOTTOTHEMARRIAG,NSIBM PSWVC IWMOE UTWPV 
BROCCOLI,ACCUSEMETHUSTHATIHAV,BTQWU SXMUY IUVVL BJYOX 
LANDFALL,LIKEASTOMAKEOURAPPET,WIXHF SEZXA XHTUC LAPRW 
HYSTERIC,WHATPOTIONSHAVEIDRUN,DFSMT FBKVL KAEMM KKPMG 
EURASIAN,THATYOUWEREONCEUNKIN,XBRTQ WUJIL VOFKE HREZN 
AILMENTS,TISBETTERTOBEVILETHA,TQDNI GMWRB ZNIIB DEBSM 
CHROMITE,THYGIFTTHYTABLESAREW,VOPUU NMXJF KONTX WCYVK 
FIDGETED,NOTIMETHOUSHALTNOTBO,SWWOQ XXKTC VNEEX QTBEU 
MONOMERS,IFMYDEARLOVEWEREBUTT,UTZMP IRJXC ISIII WNIGH 
ARABIANS,WERETAUGHTTOMEIBORET,WVRFB AHYHK TPUEV TOIEU 
TIRELESS,OTHOUMYLOVELYBOYWHOI,HBYSF QQDHD VPJFG QPPFM 
BLUNDERS,INTHEOLDAGEBLACKWASN,JYNUH SCVBR YOOET CXLMA 
OBSIDIAN,HOWOFTWHENTHOUMYMUSI,VPOWI BWUSO LPRCM LAVKQ 
INSISTED,THEEXPENSEOFSPIRITIN,BUWMP IIQAR GNKIM UQGAV 
BACKSIDE,MYMISTRESSEYESARENOT,NYOSK BUITS GIWAD VFNQD 
STRUMMED,THOUARTASTYRANNOUSSO,LAFOM DXDKM PLMZR RMLJI 
SIMPLIFY,THINEEYESILOVEANDTHE,LPUCP MDCKQ XDGMF LVBTT 
CONJOINT,BESHREWTHATHEARTTHAT,DSFQF MJMJO GQSIE MVVNC 
STUFFIER,SONOWIHAVECONFESSDTH,KHHTB QLRNX WTSNI JKWNM 
REALIGNS,WHOEVERHATHHERWISHTH,NLOPD KEZRX HSMXJ AJLTS 
ANNEXING,IFTHYSOULCHEQUETHEET,ISGLV ABALP UINCR ZHRRX 
BACKCHAT,THOUBLINDFOOLLOVEWHA,UHQED SIGEF QYNSO OFWJK 
MITIGATE,WHENMYLOVESWEARSTHAT,IPXVS YESHM LEKAK WFPTB 
SUBSUMES,OCALLNOTMETOJUSTIFYT,GWBDF ZSLEY UGDGW LAZZL 
COVERLET,BEWISEASTHOUARTCRUEL,DSRMJ PELVV JYRCX VTIZP 
COINCIDE,INFAITHIDONOTLOVETHE,KBNNK BKMFC VBVTR ZGHPR 
MARTIANS,LOVEISMYSINANDTHYDEA,XOMXQ SZQEI ETVDG ZKDVT 
BISCUITS,LOASACAREFULHOUSEWIF,MWSUU KTJFN MNBWN KFEAH 
RECESSED,TWOLOVESIHAVEOFCOMFO,KAQPG NIVZL CZWGJ FFQHS 
BORROWER,THOSELIPSTHATLOVESOW,UVFJS HMGTH YRHHS MFGFN 
FOURTEEN,POORSOULTHECENTREOFM,UCIIL SYYYV YTXRX EJCZD 
ELLIPSES,MYLOVEISASAFEVERLONG,QJWWK WMKED LNTNI JPZYO 
EMBEDDED,OMEWHATEYESHATHLOVEP,SYFAK DXHCQ TLDWL OSHFT 
AUDITING,CANSTTHOUOCRUELSAYIL,CUQAM BUUUI FZNMY YASLT 
COACTION,OFROMWHATPOWERHASTTH,QTRQF EVNVD OYXZV NUHTJ 
WRINKLED,LOVEISTOOYOUNGTOKNOW,HFDRS DXRKP WHXRX RGEWJ 
ACQUITES,INLOVINGTHEETHOUKNOW,IPBID BRYTJ UYBAS MKPEQ 
REINVENT,CUPIDLAIDBYHISBRANDA,TYXVY PNBUF GUDWO KRRLN 
EXTOLLED,THELITTLELOVEGODLYIN,XEXZT EXOII HJPRS GPVBB 
GRACIOUS,FROMFAIRESTCREATURES,LIOON OCJKJ TEZSU LAIEU 
BACKPACK,WHENFORTYWINTERSSHAL,XHGXU OTDZW KXIET CTHCV 
OCCASION,LOOKINTHYGLASSANDTEL,ZQQKA VHUMI NAKAO ARVGL 
UNWISEST,UNTHRIFTYLOVELINESSW,OAPPJ MXMSY KDWPA GYFOE 
EVERYONE,THOSEHOURSTHATWITHGE,XCSJC VBYVN XYYHJ MXCKV 
NUMERATE,THENLETNOTWINTERSRAG,GBQRC EMRBN IMETX VFLMK 
RAILWAYS,LOINTHEORIENTWHENTHE,COQYP HCGII MYPWF WETPP 
PERINEAL,MUSICTOHEARWHYHEARST,BYJQP XOSTE IEUCH PPVJB 
SHAVINGS,ISITFORFEARTOWETAWID,AZION BXXWH ROWJK LSDIY 
BORSTALS,FORSHAMEDENYTHATTHOU,GCIKA AXWES EQMHL LUVFM 
COVALENT,ASFASTASTHOUSHALTWAN,CGAAD XNLVV JUDLN EVKVN 
OLEANDER,WHENIDOCOUNTTHECLOCK,KSINV GSTCF RTGKI TZZGK 
RARENESS,OTHATYOUWEREYOURSELF,FTYEG CGMNE IILSM JJECJ 
ALKALOID,NOTFROMTHESTARSDOIMY,NZDFC CUWHP CTLFA GOTWY 
SOMETIME,WHENICONSIDEREVERYTH,OVQRB KARKW PIKMH IJMFL 
SPHAGNUM,BUTWHEREFOREDONOTYOU,TJAWN RLQXD YEJBH ALNVU 
CANOPIED,WHOWILLBELIEVEMYVERS,YHBKX TPEGL VSKMQ BXEEG 
THWARTED,SHALLICOMPARETHEETOA,LOWLC BGRFW WRVML HXAKA 
PLEASING,DEVOURINGTIMEBLUNTTH,SPZOM ZVTVE MMWJY ACEXH 
MARKETED,AWOMANSFACEWITHNATUR,MWFWE GWIMC VGMML QMTLB 
AVENGING,SOISITNOTWITHMEASWIT,SJMFO BAUTR MGNUR GSRMG 
SHUTTERS,MYGLASSSHALLNOTPERSU,EFAET WJKZH FEGSK HWYMN 
GNARLING,ASANUNPERFECTACTORON,GFAEF VCKXS ETEIP ZUEOE 
CHANGING,MINEEYEHATHPLAYDTHEP,OPNRK GRNCA HCRIL JVOEC 
NOSEDIVE,LETTHOSEWHOAREINFAVO,YSLXK WNIJV GEUMD RSONS 
LADYSHIP,LORDOFMYLOVETOWHOMIN,WOUBG MUNWO YCLVE WZMLL 
ABDUCTED,WEARYWITHTOILIHASTEM,WFDLA PMWHU RCNBL DSUHG 
TOGGLING,HOWCANITHENRETURNINH,ACCIL VVZAS TXPBH XGWTN 
CRUMBING,WHENINDISGRACEWITHFO,YYYZJ VQOUX LMDMJ OVYZA 
BOOTLACE,WHENTOTHESESSIONSOFS,XVSGE OVLFG SLDIQ RTCTL 
TENTACLE,THYBOSOMISENDEAREDWI,MLLUO UZQBW RGDGL VXHJB 
DIVORCES,IFTHOUSURVIVEMYWELLC,LNOVF WWMUD DJVOC OHTGQ 
CLOWNING,FULLMANYAGLORIOUSMOR,HFZHZ IAECR ZKEQB AUXCN 
NUMBERED,WHYDIDSTTHOUPROMISES,JBKEM UWWGB AVTIS PVMQT 
GOODWILL,NOMOREBEGRIEVEDATTHA,TCARN MMPMF WHRMO LZHVD 
EMPLOYED,LETMECONFESSTHATWETW,PQIXS ASQJQ HDHFE WAQIH 
MONKFISH,ASADECREPITFATHERTAK,MGNNJ KJLBW GPFBZ LDHNU 
MEGASTAR,HOWCANMYMUSEWANTSUBJ,TSCCS GMPYY YEOTN KEYHJ 
DIAGRAMS,OHOWTHYWORTHWITHMANN,RPOCK HKORZ TNNIF ZPINT 
MEXICANS,TAKEALLMYLOVESMYLOVE,FEHMC LYEKP LDGSZ QXSSM 
ELISIONS,THOSEPETTYWRONGSTHAT,XSWKM DRLXJ EJWBT KXSIL 
DISUNITY,THATTHOUHASTHERITISN,WPSNG PHSKI KNUMK GWQKH 
BLACKING,WHENMOSTIWINKTHENDOM,XSEPW WFZJH IPUBU KOOOO 
PENNANTS,IFTHEDULLSUBSTANCEOF,XJGUE QNDAW HOSGT FRIBS 
SCULPTED,THEOTHERTWOSLIGHTAIR,LJYZI AIULY IDABK KLCCC 
MORPHEUS,MINEEYEANDHEARTAREAT,YWETL CYSZR YTHVN SDSRI 
MAINTAIN,BETWIXTMINEEYEANDHEA,NEBJB XBZUN MRREI APHMN 
UNIVERSE,HOWCAREFULWASIWHENIT,BBEXE IWJOY EVWZO LYAQO 
GRIPPERS,AGAINSTTHATTIMEIFEVE,GXIXC WKLNR BIXQV ALVDT 
SIFTINGS,HOWHEAVYDOIJOURNEYON,ZWBAM NBQVW NCWHX FWGTG 
MIGRAINE,THUSCANMYLOVEEXCUSET,FPAJC IAQKT UMEMK GGAKK 
BUILDERS,SOAMIASTHERICHWHOSEB,TIIXL EJLIY ZTFLN ZPMMM 
HERITAGE,WHATISYOURSUBSTANCEW,DLRBB SESBV JCUSZ EUGVE 
AUGUSTUS,OHOWMUCHMOREDOTHBEAU,OBUQE NWZMI XYVHN ZBYGO 
CHOPPERS,NOTMARBLENORTHEGILDE,PVHBP VSDGU CGILV YKSRT 
MISNAMED,SWEETLOVERENEWTHYFOR,EEWRT XSYQZ WAEIX KKNGE 
ANABOLIC,BEINGYOURSLAVEWHATSH,BRIOU JWWRF LBJPE JAGSI 
COOKBOOK,THATGODFORBIDTHATMAD,VVODH CRPQF PSEHV KVAON 
SWITCHES,IFTHEREBENOTHINGNEWB,ABBAG YITWJ WMJPR YFAEU 
INSURERS,LIKEASTHEWAVESMAKETO,TVCYR WKZMJ SPVWD SSRLI 
SERVICED,ISITTHYWILLTHYIMAGES,AWZOB JCZAP COPAM PSKVN 
ABORTING,SINOFSELFLOVEPOSSESS,SJBFY ARRFM CMXXB YSFGJ 
SUNLIGHT,AGAINSTMYLOVESHALLBE,SANTV YAFQF BGMYO TDFOP 
RESUMING,WHENIHAVESEENBYTIMES,NLWHU PNBVW WYZJL ZZQWM 
THUGGERY,SINCEBRASSNORSTONENO,LPHIK FIYLZ HUXWK MGLHU 
BEATIFIC,TIREDWITHALLTHESEFOR,UMRXL BQVIE LEBMM UFJOK 
DESKTOPS,AHWHEREFOREWITHINFEC,DLORX FTXRV WGBHW AQJWM 
CHALICES,THUSISHISCHEEKTHEMAP,VOUDQ ULAUJ HPMMX ZGTAA 
VISUALLY,THOSEPARTSOFTHEETHAT,OPGME ALPOA GZTSP COPSN 
PETERING,THATTHOUARTBLAMEDSHA,ILTXK PBAPV MFCIZ KSWAE 
SKULKING,NOLONGERMOURNFORMEWH,FYFZX ORXEY OCXNB XEOQS 
SLURPING,OLESTTHEWORLDSHOULDT,GWYJI BUKOZ LCSAU UMWXK 
WOODLAND,THATTIMEOFYEARTHOUMA,PVOWE IZHKT MHLRG KKIAD 
COWSLIPS,BUTBECONTENTEDWHENTH,DIPTP KDFVS JLPLL ZGBPZ 
NEATNESS,SOAREYOUTOMYTHOUGHTS,FSAKR CGMGS MRGLG MTLTL 
HORSEFLY,WHYISMYVERSESOBARREN,DVPAW RJTLF JWWTM YYFVF 
TABLEBAY,THYGLASSWILLSHOWTHEE,MHZRP BSQPI MWWIO UMHFP 
YODELLED,SOOFTHAVEIINVOKEDTHE,QCRJE SEYCW LRGZO HBHKI 
HEADLOCK,WHILSTIALONEDIDCALLU,DLIOD HKKSS NHOWF MHPLX 
BALANCED,OHOWIFAINTWHENIOFYOU,PHZWV HELOT HHRPM RGYZU 
KNOCKERS,ORISHALLLIVEYOUREPIT,YEWUR ECDVV JGISL JOCWV 
FEATURES,IGRANTTHOUWERTNOTMAR,NKRTH KXZTY WXLKR GYQAK 
DISTURBS,INEVERSAWTHATYOUDIDP,LVWOY ITSZB ZTNPP MGQVI 
STUMBLED,WHOISITTHATSAYSMOSTW,OAIUT TXWZT NEBJW PGLNI 
ISOTOPIC,MYTONGUETIEDMUSEINMA,UQHHB VCGBA SWAJA GQFAT 
BREAKAGE,WASITTHEPROUDFULLSAI,XRWID TNIQI SUNFA PMJEI 
LIFESIZE,FAREWELLTHOUARTTOODE,QIWIO MKPEP TYSZS XZWII 
SHOPPING,WHENTHOUSHALTBEDISPO,OOSCI PBAKO OAIJR JAZDD 
LOADINGS,SAYTHATTHOUDIDSTFORS,DOYWP NZLSC UGQQY LQCRV 
DELEGATE,THENHATEMEWHENTHOUWI,WLPRN AMIPI HLKNM LRYHM 
SURVIVAL,SOMEGLORYINTHEIRBIRT,KIDZO GOCQC EOPZI CTCIO 
PORRIDGE,BUTDOTHYWORSTTOSTEAL,QIKUW WNCLC IJBWU WISRC 
MONGRELS,SOSHALLILIVESUPPOSIN,ECFNR PWAXW IKJYA HAGVT 
HEIRLOOM,THEYTHATHAVEPOWERTOH,ALMPE VOFOE DVACK QYXWY 
ITEMISES,HOWSWEETANDLOVELYDOS,PHAEE WILIG HXWNI DGWSE 
FOUNTAIN,SOMESAYTHYFAULTISYOU,XCGRL AGGMM ZNNLB VXMIH 
HUMANISE,HOWLIKEAWINTERHATHMY,OIILV SWEDC ZTRZZ EABYY 
ARRANGED,FROMYOUHAVEIBEENABSE,FIFML UYKAM VIOKI QASJE 
RECLAIMS,THEFORWARDVIOLETTHUS,KLGQO ZISIH XTOTQ LKLWD 
SECTORED,WHEREARTTHOUMUSETHAT,OLGKS RVWLL QNALW HLLCM 
HARDIEST,OTRUANTMUSEWHATSHALL,VTIXI RLFBS VZPEL LOACO 
COPPICES,MYLOVEISSTRENGTHENDT,OMADD GMKUH GTVIX ZGBSI 
HANDIEST,ALACKWHATPOVERTYMYMU,HLNFS AZTAP BYMVL RTYZX 
CORNMEAL,TOMEFAIRFRIENDYOUNEV,VCDRR EICHF ZRZHY ZWBVI 
CONDONED,LETNOTMYLOVEBECALLDI,NSGQC GQBNC IHPRG DNZQL 
CONCEALS,WHENINTHECHRONICLEOF,YVRPM NEZGQ UTSNT UNSBH 
WOOLLENS,WHENINTHECHRONICLEOF,SVSYT RGZAQ VCZRV UHSCQ 
CASUALTY,NOTMINEOWNFEARSNORTH,POLGI YXMYN XYACL LQRLB 
PINNACLE,WHATSINTHEBRAINTHATI,LPNGS KYXWM OEAKY XWIGV 
SATSUMAS,ONEVERSAYTHATIWASFAL,GNXNY DSSQT ASNUW SKFTD 
VASELINE,ALASTISTRUEIHAVEGONE,VLSWE QFXMU WMSII IBOFI 
CRATEFUL,OFORMYSAKEDOYOUWITHF,QWOKQ DMLMV DHCTO HKKHY 
CHEWIEST,YOURLOVEANDPITYDOTHT,AVYNT SNXCU HLQXQ WQALP 
TAPERING,SINCEILEFTYOUMINEEYE,LICGV QYKYT NSLUV TXENI 
GLUTTONS,ORWHETHERDOTHMYMINDB,UCQAX HUWXO IMAAL EOYXU 
SMALLISH,THOSELINESTHATIBEFOR,LTODP TAUWE TSLBA IWROC 
HIGHBROW,LETMENOTTOTHEMARRIAG,SMZTF ECPAW ZOFDO NYQGN 
TORMENTS,ACCUSEMETHUSTHATIHAV,TQTGW RFWMV LEXUT LBVRH 
SWANSONG,LIKEASTOMAKEOURAPPET,DEKRS GGUEW KRGIE GHLEG 
LENGTHEN,WHATPOTIONSHAVEIDRUN,HLNZI VXVZR FNTCI VOVHT 
LONDONER,THATYOUWEREONCEUNKIN,EVNWM BYNPF RRBPI LYYVQ 
SANDDUNE,TISBETTERTOBEVILETHA,LIFEH NGIJT BEHPV PWTUD 
FIXTURES,THYGIFTTHYTABLESAREW,YPVZC WXLMG QTVCI KFZBP 
ROADWAYS,NOTIMETHOUSHALTNOTBO,ECTLI ERZFI SKWLR FFHBR 
ANALYSES,IFMYDEARLOVEWEREBUTT,ISMJB WEJLB VPUWV WBHTE 
ALGEBRAS,WERETAUGHTTOMEIBORET,WPXIU RUYHE ZSNVI TOCKX 
SQUIRTED,OTHOUMYLOVELYBOYWHOI,GJBWL FCOGL YTPUS BOXIQ 
MOULTING,INTHEOLDAGEBLACKWASN,UBNSX WYJMU YMEIP QIOMY 
MATERIAL,HOWOFTWHENTHOUMYMUSI,TOPSW BWSQN MLFCM JYULM 
DREAMERS,THEEXPENSEOFSPIRITIN,WYIEJ TVFVV SFETZ JLKMN 
OXIDISER,MYMISTRESSEYESARENOT,AVULA LVVGP MBMKE ISKWW 
GREENERY,THOUARTASTYRANNOUSSO,ZYSYN VKYYK CVNRE MAJWS 
HILLTOPS,THINEEYESILOVEANDTHE,APTYX SNWZQ WZOSP FKBSP 
KERCHIEF,BESHREWTHATHEARTTHAT,LIJJY MAYRE KJLIV YDLRV 
PURCHASE,SONOWIHAVECONFESSDTH,HIEQD IZEKY TQUFW WHXKJ 
SCABBARD,WHOEVERHATHHERWISHTH,OJOFW EIKSV HIFRN LKJTI 
DEADLOCK,IFTHYSOULCHEQUETHEET,LJTKJ GQEOG HHBIG DKIEW 
CONTINUA,THOUBLINDFOOLLOVEWHA,VVBNJ YCNFT BHTYI VGKUT 
REDEEMED,WHENMYLOVESWEARSTHAT,NLHRQ KPRMI VAIMV VKLDX 
CLASSIFY,OCALLNOTMETOJUSTIFYT,QNADD VTROP TGBCX RKQYL 
DECRYING,BEWISEASTHOUARTCRUEL,EIYZQ MNYWL QLYZG IUYGC 
BOASTFUL,INFAITHIDONOTLOVETHE,JBFSB YBTEC NGMQI GFHHW 
BEHOLDER,LOVEISMYSINANDTHYDEA,MSCST VQPTM UOYGX YZHLO 
NEMATODE,LOASACAREFULHOUSEWIF,YSMST QDVRJ GLACX WRAUF 
